,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
11,CAJ66825.1,617.2348474,0.294914543,0.324033639,0.910135579,0.362751013,0.543465905,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,9857,10630,+,NA,NA,RNA polymerase sigma-B factor (Sigma-37),sigB,NA,CD630_00110,774,257,old_locus_tag=CD0011
12,CAJ66826.1,1030.122471,-0.360584377,0.235131051,-1.533546399,0.125141284,0.274586411,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,16073,16600,+,NA,NA,putative small-molecule-binding protein,NA,NA,CD630_00120,528,175,old_locus_tag=CD0012
13,CAJ66827.1,737.042253,0.069941578,0.286277639,0.244313802,0.806987795,0.889805408,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,16612,17493,+,NA,NA,putative mechanosensitive ion channel protein,NA,NA,CD630_00130,882,293,old_locus_tag=CD0013
14,CAJ66828.1,4370.089929,-0.389898028,0.275109656,-1.417245884,0.156411051,0.320616673,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,17952,19223,+,NA,NA,Seryl-tRNA synthetase 1,serS1,NA,CD630_00140,1272,423,old_locus_tag=CD0014
15,CAJ66829.1,1301.182657,0.207202591,0.347231015,0.596728353,0.55068876,0.708849022,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,19544,19999,+,NA,NA,transfer RNA specific adenosine deaminase,tadA,NA,CD630_00150,456,151,old_locus_tag=CD0015
16,CAJ66830.1,4039.385954,-0.660640201,0.279891649,-2.360342662,0.018258061,0.075375055,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,20470,22107,+,NA,NA,DNA polymerase III subunits gamma and tau,dnaX,NA,CD630_00160,1638,545,old_locus_tag=CD0016
17,CAJ66831.1,1345.31978,-0.880457458,0.310596946,-2.834726702,0.00458649,0.02858449,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,22166,22516,+,NA,NA,DNA binding protein,NA,NA,CD630_00170,351,116,old_locus_tag=CD0017
18,CAJ66832.1,3240.944525,-0.942512213,0.346056475,-2.723579187,0.006457873,0.036499308,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,22529,23128,+,NA,NA,DNA repair and recombination protein,recR,NA,CD630_00180,600,199,old_locus_tag=CD0018
19,CCA62784.1,20.98703097,2.346490963,1.028106542,2.282342216,0.022469144,0.086646637,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,23269,23490,+,NA,NA,conserved hypothetical protein,NA,NA,CD630_00181,222,73,old_locus_tag=CD0018A
20,CAJ66833.1,1729.380382,0.285584278,0.302469426,0.944175685,0.345079878,0.526581084,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,23561,24766,-,NA,NA,putative glycosyl transferase,NA,NA,CD630_00190,1206,401,old_locus_tag=CD0019
21,CAJ66834.1,464.2055963,-1.095764839,0.266884905,-4.10575802,4.03E-05,0.000852499,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,34145,34558,+,NA,NA,conserved hypothetical protein,NA,NA,CD630_00200,414,137,old_locus_tag=CD0020
22,CAJ66835.1,3331.666683,-0.3237418,0.330794171,-0.978680484,0.327737878,0.510354543,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,34867,38298,+,NA,NA,Pyruvate carboxylase,pycA,NA,CD630_00210,3432,1143,old_locus_tag=CD0021
23,CAJ66836.2,4483.26752,2.584998475,0.318074385,8.127024978,4.40E-16,2.71E-13,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,38540,40468,+,NA,NA,Elongation factor G (EF-G),fusA1,NA,CD630_00220,1929,642,old_locus_tag=CD0022
24,CAJ66837.1,44.18156688,2.238158466,0.883505986,2.533269157,0.011300414,0.053428013,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,40921,41385,+,NA,NA,"Transcriptional regulator, CtsR family",ctsR,NA,CD630_00230,465,154,old_locus_tag=CD0023
25,CAJ66838.1,203.4464143,1.1511582,0.616120939,1.868396489,0.061706826,0.171789098,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,41392,41886,+,NA,NA,Activator of protein kinase McsB,mcsA,NA,CD630_00240,495,164,old_locus_tag=CD0024
26,CAJ66839.1,1067.347242,-0.094498688,0.294449697,-0.320933216,0.748261002,0.850756213,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,41902,42927,+,NA,NA,Tyrosine kinase protein,mcsB,NA,CD630_00250,1026,341,old_locus_tag=CD0025
27,CAJ66840.1,4071.106723,-0.177764635,0.233589465,-0.761013063,0.446649265,0.62231674,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,42914,45361,+,NA,NA,"class III stress response-related ATPase, AAA+ superfamily",clpC,NA,CD630_00260,2448,815,old_locus_tag=CD0026
28,CAJ66841.1,7692.521741,-0.113077137,0.272361707,-0.41517267,0.678015505,0.800386925,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,45541,46914,+,NA,NA,DNA repair protein,radA,NA,CD630_00270,1374,457,old_locus_tag=CD0027
29,CAJ66842.1,2363.00136,-0.043848075,0.247993303,-0.17681153,0.859656432,0.917777072,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,46917,47987,+,NA,NA,DNA integrity scanning protein disA,disA,NA,CD630_00280,1071,356,old_locus_tag=CD0028
30,CAJ66843.1,3303.205043,0.017353173,0.281387361,0.06167005,0.950825591,0.974589805,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,48076,49170,+,NA,NA,putative membrane protein,NA,NA,CD630_00290,1095,364,old_locus_tag=CD0029
31,CAJ66844.1,4948.92738,-0.381207502,0.267820502,-1.423369381,0.154629104,0.318374272,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,49299,51476,+,NA,NA,putative membrane protein,NA,NA,CD630_00300,2178,725,old_locus_tag=CD0030
32,CAJ66845.1,38.67668549,3.880847382,0.969658528,4.002282524,6.27E-05,0.001144052,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,51662,52507,-,NA,NA,"Transcriptional regulator, AraC family",NA,NA,CD630_00310,846,281,old_locus_tag=CD0031
33,CAJ66846.1,4.645450679,-0.381350846,1.151024517,-0.331314269,0.740407115,0.843899981,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,52724,53890,+,NA,NA,putative beta-glucosidase,NA,NA,CD630_00320,1167,388,old_locus_tag=CD0032
34,CAJ66847.1,9.99743054,0.047959434,0.815325044,0.058822471,0.95309351,0.975491339,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,53912,55558,+,NA,NA,putative glycoside hydrolase,NA,NA,CD630_00330,1647,548,old_locus_tag=CD0033
35,CAJ66848.1,100.0522882,-0.387518886,0.538617932,-0.719468965,0.471852018,0.64417946,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,55655,57028,+,NA,NA,"putative xylose transporter, sodium:galactoside symporter family",NA,NA,CD630_00340,1374,457,old_locus_tag=CD0034
36,CAJ66849.1,19.07867084,-0.233635712,0.746265509,-0.313073175,0.754225068,0.855173416,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,57469,58422,+,NA,NA,Transcriptional regulator,NA,NA,CD630_00350,954,317,old_locus_tag=CD0035
37,CAJ66850.1,129.0557966,-0.179305074,0.37942701,-0.47256803,0.636521396,0.769597638,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,58454,59422,+,NA,NA,Acetoin dehydrogenase E1 component (TPP-dependent alpha subunit),acoA,NA,CD630_00360,969,322,old_locus_tag=CD0036
38,CAJ66851.1,114.7608736,-0.208071051,0.401060505,-0.518802146,0.603898721,0.745211022,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,59447,60433,+,NA,NA,Acetoin dehydrogenase E1 component (TPP-dependent beta subunit),acoB,NA,CD630_00370,987,328,old_locus_tag=CD0037
39,CAJ66852.1,268.3532975,0.324641791,0.325574457,0.997135322,0.31869883,0.503438154,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,60446,61492,+,NA,NA,Acetoin dehydrogenase E2 component (dihydrolipoamide acetyltransferase),acoC,NA,CD630_00380,1047,348,old_locus_tag=CD0038
40,CAJ66853.1,101.2186907,0.478577688,0.464647839,1.029979369,0.30301969,0.488792546,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,61659,63389,+,NA,NA,Acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),acoL,NA,CD630_00390,1731,576,old_locus_tag=CD0039
41,CAJ66854.1,76.34259947,0.307397106,0.397694255,0.772948319,0.439552967,0.614047201,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,63807,66755,+,NA,NA,"Transcription antiterminator, PTS operon regulator",NA,NA,CD630_00400,2949,982,old_locus_tag=CD0040
42,CAJ66855.1,12.32824342,0.76881707,0.747301523,1.028790984,0.303577904,0.4890537,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,66733,67197,+,NA,NA,"PTS system, galactitol-specific IIA component",NA,NA,CD630_00410,465,154,old_locus_tag=CD0041
43,CAJ66856.1,10.33563951,1.364195583,1.317847825,1.035169279,0.300589863,0.486197767,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,67277,67579,+,NA,NA,"PTS system, galactitol-specific IIB component",NA,NA,CD630_00420,303,100,old_locus_tag=CD0042
44,CAJ66857.1,49.77733348,0.744129849,0.498005589,1.494219875,0.135118159,0.288970206,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,67656,69005,+,NA,NA,"PTS system, galactitol-specific IIC component",NA,NA,CD630_00430,1350,449,old_locus_tag=CD0043
45,CAJ66858.1,0.214183384,0.782755173,4.080472857,0.191829526,0.847875742,NA,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,69040,69513,+,NA,NA,conserved hypothetical protein,NA,NA,CD630_00440,474,157,old_locus_tag=CD0044
46,CAJ66859.1,15.90178662,0.177264911,0.832050182,0.213045938,0.831291132,0.901640531,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,69685,70335,+,NA,NA,putative sugar-phosphate aldolase,NA,NA,CD630_00450,651,216,old_locus_tag=CD0045
47,CAJ66860.1,150.314115,1.370486888,0.501196578,2.73442986,0.006248841,0.035534882,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,70509,71441,+,NA,NA,putative lipoate-protein ligase,NA,NA,CD630_00460,933,310,old_locus_tag=CD0046
48,CAJ66861.1,434.8805155,-0.744012628,0.41401712,-1.797057639,0.07232647,0.190165192,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,71715,72428,+,NA,NA,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,NA,CD630_00470,714,237,old_locus_tag=CD0047
49,CAJ66862.1,416.9092853,-1.157833129,0.41212626,-2.809413619,0.004963184,0.030204645,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,72425,72910,+,NA,NA,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,NA,CD630_00480,486,161,old_locus_tag=CD0048
50,CAJ66863.1,43640.06524,-0.122377617,1.061153682,-0.115325064,0.908187472,0.946273578,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,73277,74992,+,NA,NA,Prolyl-tRNA synthetase,proS,NA,CD630_00490,1716,571,old_locus_tag=CD0049
51,CAJ66864.1,28614.989,0.556215823,1.060386517,0.524540641,NA,NA,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,75114,76559,+,NA,NA,Prolyl-tRNA synthetase,proS1,NA,CD630_00500,1446,481,old_locus_tag=CD0050
52,CAJ66865.1,2457.502381,-0.644717945,0.278900401,-2.311642232,0.020797407,0.082318828,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,76997,78478,+,NA,NA,Glutamyl-tRNA synthetase,gltX,NA,CD630_00510,1482,493,old_locus_tag=CD0051
53,CCA62785.1,6.289154253,2.36162377,1.775466543,1.330142648,0.183471276,0.354124434,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,78699,78854,+,NA,NA,conserved hypothetical protein,NA,NA,CD630_00511,156,51,old_locus_tag=CD0051A
54,CAJ66866.2,6460.786017,-0.050431218,0.285449453,-0.176673024,0.859765231,0.917777072,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,78999,80396,+,NA,NA,Cysteinyl-tRNA synthetase (Cysteine--tRNA ligase) (CysRS),cysS,NA,CD630_00520,1398,465,old_locus_tag=CD0052
55,CAJ66867.1,1066.975507,-0.668209475,0.42341236,-1.578152972,0.114530471,0.257902558,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,80399,80794,+,NA,NA,Ribonuclease III,mrnC,NA,CD630_00530,396,131,old_locus_tag=CD0053
56,CAJ66868.1,2399.013211,-0.570412009,0.383538791,-1.487234205,0.136952965,0.29205062,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,80900,81658,+,NA,NA,Thymidylate synthase thyX (TS) (TSase),thyX,NA,CD630_00540,759,252,old_locus_tag=CD0054
57,CAJ66869.1,2036.920697,-0.820679418,0.404349472,-2.02962901,0.042394264,0.134025247,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,81662,82408,+,NA,NA,"putative tRNA/rRNA methyltransferase, TrmH family, group3",NA,NA,CD630_00550,747,248,old_locus_tag=CD0055
58,CAJ66870.1,2668.902994,-0.566549655,0.371690922,-1.524249371,0.127446429,0.278023972,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,82411,82938,+,NA,NA,putative ribonuclease,NA,NA,CD630_00560,528,175,old_locus_tag=CD0056
59,CAJ66871.1,3001.925026,0.392924601,0.33480618,1.173588259,0.240559986,0.419662801,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,82988,83650,+,NA,NA,RNA polymerase factor sigma-70,sigH,NA,CD630_00570,663,220,old_locus_tag=CD0057
60,CAJ66872.1,47876.82631,-1.043641968,0.566227443,-1.843149747,0.06530715,0.177118731,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,83724,84917,+,NA,NA,Elongation factor EFTu/EF1A,tuf1,NA,CD630_00580,1194,397,old_locus_tag=CD0058
61,CAJ66873.1,5392.406548,-0.867211374,0.465507024,-1.862939398,0.062470793,0.172845198,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,85167,85316,+,NA,NA,50S ribosomal protein L33,rpmG,NA,CD630_00581,150,49,old_locus_tag=CD0058A
62,CAJ66874.1,9652.9917,-1.052327482,0.503864679,-2.088512105,0.036751665,0.121045073,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,85342,85563,+,NA,NA,Preprotein translocase SecE subunit,secE,NA,CD630_00590,222,73,old_locus_tag=CD0059
63,CAJ66875.1,24563.46892,-1.175203539,0.511387565,-2.298068274,0.021557904,0.08391941,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,85583,86125,+,NA,NA,transcription antitermination protein,nusG,NA,CD630_00600,543,180,old_locus_tag=CD0060
64,CAJ66876.1,32360.94782,-1.17586343,0.436909801,-2.691318501,0.007117021,0.038860196,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,86164,86589,+,NA,NA,50S ribosomal protein L11,rplK,NA,CD630_00610,426,141,old_locus_tag=CD0061
65,CAJ66877.1,57490.49743,-1.174804454,0.532924741,-2.2044472,0.027492909,0.099053753,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,86660,87358,+,NA,NA,50S ribosomal protein L1,rplA,NA,CD630_00620,699,232,old_locus_tag=CD0062
66,CAJ66878.1,18328.96534,-1.019439369,0.417727373,-2.440441867,0.014669307,0.064191222,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,87581,88087,+,NA,NA,50S ribosomal protein L10,rplJ,NA,CD630_00630,507,168,old_locus_tag=CD0063
67,CAJ66879.1,10436.39628,-1.175378064,0.420839514,-2.792936556,0.005223194,0.031137299,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,88144,88509,+,NA,NA,50S ribosomal protein L7/L12,rplL,NA,CD630_00640,366,121,old_locus_tag=CD0064
68,CAJ66880.1,1559.736081,-0.504733025,0.27457849,-1.838210364,0.066031413,0.178557147,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,88901,89689,+,NA,NA,putative NADP-dependent deshydrogenase,NA,NA,CD630_00650,789,262,old_locus_tag=CD0065
69,CAJ66881.1,66862.76769,-0.69279852,0.576982998,-1.200726058,0.229857483,0.406949977,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,90160,93876,+,NA,NA,DNA-directed RNA polymerase subunit beta,rpoB,NA,CD630_00660,3717,1238,old_locus_tag=CD0066
70,CAJ66882.1,71644.37255,-0.685438267,0.634254132,-1.080699726,0.279830705,0.463919959,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,93918,97403,+,NA,NA,DNA-directed RNA polymerase subunit beta',rpoC,NA,CD630_00670,3486,1161,old_locus_tag=CD0067
71,CAJ66883.2,4578.402269,-0.908787006,0.575754268,-1.578428604,0.114467178,0.257902558,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,97692,98114,+,NA,NA,30S ribosomal protein S12,rpsL,NA,CD630_00680,423,140,old_locus_tag=CD0068
72,CAJ66884.1,5140.84688,-1.141325051,0.660631012,-1.727628631,0.084054826,0.210250653,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,98238,98708,+,NA,NA,30S ribosomal protein S7,rpsG,NA,CD630_00690,471,156,old_locus_tag=CD0069
73,CAJ66885.1,135881.3431,-1.028319001,0.676196569,-1.520739749,0.128325159,0.279611383,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,98757,100823,+,NA,NA,Elongation factor G (EF-G),fusA,NA,CD630_00700,2067,688,old_locus_tag=CD0070
74,CAJ66886.1,47999.04641,-1.046150629,0.568305073,-1.840825782,0.065647093,0.177780205,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,100916,102109,+,NA,NA,Elongation factor EFTu/EF1A (EF-Tu),tuf,NA,CD630_00710,1194,397,old_locus_tag=CD0071
75,CAJ66887.1,15606.05024,-0.97515167,0.562252486,-1.734366132,0.08285314,0.208512798,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,102481,102792,+,NA,NA,30S ribosomal protein S10,rpsJ,NA,CD630_00720,312,103,old_locus_tag=CD0072
76,CAJ66888.1,44650.58231,-0.973037892,0.6027437,-1.614347676,0.106452034,0.246303394,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,102884,103513,+,NA,NA,50S ribosomal protein L3,rplC,NA,CD630_00730,630,209,old_locus_tag=CD0073
77,CAJ66889.2,10985.61203,-0.674522044,0.544748449,-1.238226645,0.215632034,0.390462822,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,103543,104166,+,NA,NA,50S ribosomal protein L4,rplD,NA,CD630_00740,624,207,old_locus_tag=CD0074
78,CAJ66890.1,7678.094523,-1.162646695,0.702230678,-1.655647825,0.097793159,0.232368597,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,104166,104456,+,NA,NA,50S ribosomal protein L23,rplW,NA,CD630_00750,291,96,old_locus_tag=CD0075
79,CAJ66891.1,70923.37507,-0.914172351,0.713136647,-1.281903482,0.199876506,0.373265455,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,104486,105316,+,NA,NA,50S ribosomal protein L2,rplB,NA,CD630_00760,831,276,old_locus_tag=CD0076
80,CAJ66892.1,22628.87486,-1.00152471,0.781393173,-1.28171674,0.19994203,0.373265455,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,105351,105632,+,NA,NA,30S ribosomal protein S19,rpsS,NA,CD630_00770,282,93,old_locus_tag=CD0077
81,CAJ66893.1,23163.70987,-0.988923023,0.823298753,-1.20117153,0.229684671,0.406838589,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,105664,105999,+,NA,NA,50S ribosomal protein L22,rplV,NA,CD630_00780,336,111,old_locus_tag=CD0078
82,CAJ66894.1,15906.2184,-0.907081968,0.771952745,-1.175048569,0.239975285,0.41922118,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,106022,106837,+,NA,NA,30S ribosomal protein S3,rpsC,NA,CD630_00790,816,271,old_locus_tag=CD0079
83,CAJ66895.1,5112.786901,-1.043264038,0.891533092,-1.170191042,0.241924097,0.421063943,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,106873,107304,+,NA,NA,50S ribosomal protein L16,rplP,NA,CD630_00800,432,143,old_locus_tag=CD0080
84,CAJ66896.1,2164.335379,-0.878006228,0.752531066,-1.166737517,0.243316387,0.422305199,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,107306,107509,+,NA,NA,50S ribosomal protein L29,rpmC,NA,CD630_00801,204,67,old_locus_tag=CD0080A
85,CAJ66897.1,12432.28519,-1.016275168,0.909403405,-1.117518543,0.263772676,0.446291794,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,107533,107787,+,NA,NA,30S ribosomal protein S17,rpsQ,NA,CD630_00810,255,84,old_locus_tag=CD0081
86,CAJ66898.1,7433.413471,-1.163026738,0.903290018,-1.287545212,0.197904322,0.370933541,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,107813,108181,+,NA,NA,50S ribosomal protein L14,rplN,NA,CD630_00820,369,122,old_locus_tag=CD0082
87,CAJ66899.2,12061.50361,-1.152660368,0.91577677,-1.258669586,0.208149701,0.381040361,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,108205,108510,+,NA,NA,50S ribosomal protein L24,rplX,NA,CD630_00830,306,101,old_locus_tag=CD0083
88,CAJ66900.1,8193.107216,-0.915156829,0.890549437,-1.027631697,0.304123108,0.489718898,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,108540,109082,+,NA,NA,50S ribosomal protein L5,rplE,NA,CD630_00840,543,180,old_locus_tag=CD0084
89,CAJ66901.1,1187.74186,-0.965512236,0.783804012,-1.231828649,0.218013099,0.393157836,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,109100,109285,+,NA,NA,30S ribosomal protein S14 type Z,rpsZ,NA,CD630_00841,186,61,old_locus_tag=CD0084A
90,CAJ66902.1,5896.182082,-0.854914496,0.822448038,-1.039475391,0.298583697,0.484168571,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,109318,109716,+,NA,NA,30S ribosomal protein S8,rpsH,NA,CD630_00850,399,132,old_locus_tag=CD0085
91,CAJ66903.1,18584.4323,-0.934202964,0.865952696,-1.078815238,0.280670101,0.46468726,CDS,with_protein,GCA_000009205.2,Primary Assembly,chromosome,NA,AM180355.1,109747,110289,+,NA,NA,50S ribosomal protein L6,rplF,NA,CD630_00860,543,180,old_locus_tag=CD0086
